assignee,date,url,tweets,likes,#breaking,news,,,locality of content,"account kind 
(news, politician, reporter, organization, individual, other)","thread kind 
(list of articles, live tweeting, summary of news, summary of article, opinion, tweetorial, OTHER, REPEAT)",topic,noteworthy,other notes,,
katy,04/17,https://twitter.com/mariaressa/status/1250959179814076417,9,139,FALSE,,,,Philippines,reporter,list of articles,,,,,
katy,04/17,https://twitter.com/SteveFDA/status/1250945141113847812,11,185,FALSE,,,,USA,politician,list of articles,,official announcment,,,
katy,04/17,https://twitter.com/calmecam/status/1251177769305804802,6,183,FALSE,,,,Canada,individual,opinion,,,,,
katy,04/17,https://twitter.com/dhmontgomery/status/1251246428405420033,9,249,FALSE,,,,Minnesota,reporter,tweetorial,,also summary of article...,,,
jennifer,04/17,https://twitter.com/CityCynthia/status/1251194854425706496,8,83,FALSE,,,,Ontario Canada,reporter,live tweeting,briefing from Premier Doug Ford,,,,
jennifer,04/17,https://twitter.com/QuickTake/status/1251171688596877312,8,89,FALSE,,,,New York,news,live tweeting,Gov Cuomo's covid briefing,,,,
jennifer,04/17,https://twitter.com/IndianExpress/status/1251119387295100929,6,117,FALSE,,,,India,news,list of articles,"effect of covid on healthcare, housing, poverty",,,,
jennifer,04/18,https://twitter.com/arabnews/status/1251404600986435585,11,78,TRUE,,,,Middle East,news,summary of article,,,,,
jennifer,04/18,https://twitter.com/alexwickham/status/1251433231221735424,15,872,FALSE,,,,UK,reporter,summary of article,UK's 3-stage plan for easing lockdown,,,,
jennifer,04/18,https://twitter.com/Gas_Craic/status/1251441358679744515,9,118,FALSE,,,,UK,individual,summary of article,analysis of first 5.5k critically ill NHS covid patients,doctor,,,
jennifer,04/18,https://twitter.com/IndianExpress/status/1251363589316726784,7,87,FALSE,,,,global,news,summary of article,covid stats,,,,
jennifer,04/18,https://twitter.com/NewIndianXpress/status/1251328714731687941,13,104,FALSE,,,,India,news,list of articles,,,,,
jennifer,04/18,https://twitter.com/PollsAndVotes/status/1251321449589194752,12,64,FALSE,,,,USA,reporter,opinion,partison diff in covid responses is increasing,,,,
jennifer,04/18,https://twitter.com/Care2much18/status/1251324945218646016,8,548,FALSE,,,,Ireland,individual,opinion,irish gov isn't to blame for covid nursing home deaths,,,,
jennifer,04/18,https://twitter.com/JohnMTalmadgeMD/status/1251320341747638274,7,506,FALSE,,,,USA,individual,opinion,Trump has dementia,psychiatrist,,,
jennifer,04/18,https://twitter.com/17EmeraldRoses/status/1250569066621792256,21,898,FALSE,,,,,,OTHER,,,,,
jennifer,04/18,https://twitter.com/latimes/status/1251637348778954752,6,97,FALSE,,,,Mexico,news,summary of article,covid in US-owned factories in Mexico,,,,
jennifer,04/18,https://twitter.com/ekitistategov/status/1251531080718602244,22,262,FALSE,,,,Nigeria,politician,OTHER,summary of gov's address,official announcment,,,
jennifer,04/18,https://twitter.com/jkwan_md/status/1251520554038935553,7,105,FALSE,,,,Ontario,individual,summary of news,local covid stats,physician,,,
jennifer,04/18,https://twitter.com/arabnews/status/1251404600986435585,19,78,TRUE,,,,Middle East,news,summary of article,covid stats,,,,
jennifer,04/18,https://twitter.com/kataclysmichaos/status/1251519691845062658,6,57,FALSE,,,,Sri Lanka,reporter,summary of news,what will be open/closed in response to covid,,,,
jennifer,04/18,https://twitter.com/josh_greenberg/status/1251473698214891525,8,78,FALSE,,,,Canada,individual,summary of article,how ppl experience risk,,,,
jennifer,04/19,https://twitter.com/arabnews/status/1251757601144090641,22,84,TRUE,,,,Middle East,news,summary of article,covid stats,,,,
jennifer,04/19,https://twitter.com/Independent/status/1251778815212376067,6,211,FALSE,,,,UK,news,summary of article,,,,,
sarah,04/19,https://twitter.com/firstpost/status/1251705009789526017,17,70,FALSE,,,,India,organization,summary of news,updates on new cases ,,,,
sarah,04/19,https://twitter.com/WIONews/status/1251821698120204289,9,66,FALSE,,,,India,organization,live tweeting,general stats on Covid cases for India,,,,
sarah,04/19,https://twitter.com/AndrewRTDavies/status/1251819589194874882,6,203,FALSE,,,,UK,individual,summary of article,response to a response to an article,,,,
sarah,04/19,https://twitter.com/marcowenjones/status/1251809894535225348,9,144,FALSE,,,,US,individual,OTHER,is this... a tweetorial?,Research about conspiracy theorists using 'Bill Gates' in their tweets,,,
sarah,04/19,https://twitter.com/arabnews/status/1251757601144090641,12,84,TRUE,,,,Middle East,organization,summary of news,Israel death toll,,,,
sarah,04/19,https://twitter.com/SadieTNResist/status/1251789431050252288,7,81,FALSE,,,,US(?),individual,REPEAT,call to give more resources to nursing homes,not a thread,is this 7 tweets long? I only seem to see 1,,
sarah,04/19,https://twitter.com/NewIndianXpress/status/1251700802130976768,13,88,FALSE,,,,India,organization,list of articles,asymptomatic children,,,,
sarah,04/19,https://twitter.com/Mikey_Nicholson/status/1251750329856561158,7,57,FALSE,,,,Australia,individual,summary of news,general stats,,,,
sarah,04/19,https://twitter.com/cnnphilippines/status/1251660282759221248,9,784,FALSE,,,,global,organization,summary of news,worldwide stats,,,,
sarah,04/19,https://twitter.com/WHO/status/1251680913622269953,11,2880,FALSE,,,,global,organization,OTHER,promoting resources/text services for questions and information,,,,
sarah,04/19,https://twitter.com/scroll_in/status/1251704076095516672,8,112,FALSE,,,,India,organization,summary of article,death toll in India,,,,
sarah,04/19,https://twitter.com/WHO/status/1251680913622269953,9,2880,FALSE,,,,,,REPEAT,,,,,
sarah,04/19,https://twitter.com/QuickTake/status/1252003460008103936,6,116,FALSE,,,,USA,organization,live tweeting,Trump press briefing,,,,
sarah,04/19,https://twitter.com/JooBilly/status/1251908868738867202,23,328,FALSE,,,,USA,individual,summary of article,essay on restructuring the Green New Deal,,,,
sarah,04/19,https://twitter.com/DrDenaGrayson/status/1251975051370467329,7,1068,FALSE,,,,USA,individual,summary of news,US cases have peaked,doctor? ,,,
sarah,04/19,https://twitter.com/jburnmurdoch/status/1251965076610916353,9,3371,FALSE,,,,USA,individual,summary of news,update on trajectories of various countries,,,,
sarah,04/19,https://twitter.com/DavidLat/status/1251953708067368961,6,103,FALSE,,,,USA,organization,summary of news,Actor's leg amputated due to having coronavirus,,,,
katy,04/19,https://twitter.com/DrTedros/status/1251925035624861697,8,2603,FALSE,,,,global,politician,opinion,,official announcement,,,
katy,04/19,https://twitter.com/WHO/status/1251906724484825088,22,1721,FALSE,,,,global,organization,live tweeting,,,,,
katy,04/19,https://twitter.com/channelstv/status/1251872354227163136,6,134,FALSE,,,,Nigeria,news,live tweeting,,,,,
katy,04/19,https://twitter.com/PresidencyZA/status/1251437086739173377,6,75,FALSE,,,,South Africa,politician,OTHER,,official announcement,,,
katy,04/19,https://twitter.com/arabnews/status/1251757601144090641,31,84,TRUE,,,,Middle East,news,summary of article,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
jennifer,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
sarah,,,,,,,,,,,,,,,,
